SpaceVideFront ;24; seconds
TVCenter ;6; seconds
TVLeft ;5; seconds
Cables ;26; seconds
Fridge_door ;3; seconds
PineapllePrefab ;30; seconds
Floorready ;27; seconds
SF_Door ;25; seconds
Fridge ;13; seconds
ShinRamen ;1; seconds
PineapllePrefab 1 ;12; seconds
SandwichPrefab ;0; seconds
SodaCanPrefab ;0; seconds
HandColliderRight(Clone) ;0; seconds
safe ;20; seconds
door ;35; seconds
pokretlo ;20; seconds
TVRight ;6; seconds
Chair ;10; seconds
WallTVs ;8; seconds
remote control TV ;1; seconds
Walls ;21; seconds
OldExtinguisher ;10; seconds
PizzaSliceprefabStatic ;1; seconds
Computer ;53; seconds
card (2) ;0; seconds
PineapllePrefab 2 ;15; seconds
plate ;0; seconds
13917_Pepperoni_v2 ;0; seconds
Metal_box ;1; seconds
Lock ;0; seconds
card ;3; seconds
Revolver ;3; seconds
ApplePrefab ;0; seconds
Poster ;1; seconds
SwitchBoxDoorStatic ;1; seconds
frame ;1; seconds
TVset4 ;0; seconds
PizzaSliceprefab ;0; seconds
13917_Pepperoni_v2 ;0; seconds
door ;0; seconds
SwitchBoxDoorInteractable ;1; seconds
SwitchBoxSlider1 ;0; seconds
SwitchBoxSlider2 ;0; seconds
SwitchBoxSlider3 ;0; seconds
HandColliderLeft(Clone) ;0; seconds
EndLevelZone ;1; seconds
PizzaNotePrefab ;0; seconds
