SpaceVideFront ;23; seconds
TVCenter ;3; seconds
TVRight ;17; seconds
Floorready ;21; seconds
OldExtinguisher ;8; seconds
safe ;11; seconds
door ;1; seconds
Walls ;5; seconds
SF_Door ;18; seconds
Computer ;67; seconds
HandColliderRight(Clone) ;1; seconds
PineapllePrefab (4) ;0; seconds
TVset4 ;2; seconds
WallTVs ;3; seconds
PizzaSliceprefab ;1; seconds
13917_Pepperoni_v2 ;0; seconds
Chair ;4; seconds
Fridge ;16; seconds
Fridge_door ;4; seconds
PineapllePrefab (5) ;1; seconds
Cables ;1; seconds
Poster ;24; seconds
SwitchBoxDoorStatic ;3; seconds
HandColliderLeft(Clone) ;1; seconds
SodaCanPrefab ;1; seconds
SandwichPrefab ;5; seconds
Whisky_Bottle ;3; seconds
PineapllePrefab (3) ;2; seconds
ShinRamen ;0; seconds
card ;3; seconds
pokretlo ;1; seconds
TVLeft ;3; seconds
Metal_box ;8; seconds
card (1) ;1; seconds
door ;10; seconds
frame ;2; seconds
BrokenKey1Interactable ;1; seconds
Lock ;0; seconds
plate ;0; seconds
ApplePrefab ;0; seconds
metalBoxKey ;0; seconds
TVMessage ;14; seconds
Collider ;0; seconds
Collider ;1; seconds
Collider ;0; seconds
Collider ;0; seconds
EndLevelZone ;4; seconds
