SpaceVideFront ;46; seconds
SpaceVideUp ;2; seconds
TVLeft ;3; seconds
TVCenter ;5; seconds
Floorready ;9; seconds
Cables ;34; seconds
Fridge ;17; seconds
SF_Door ;26; seconds
Fridge_door ;4; seconds
Computer ;37; seconds
PineapllePrefab 2 ;9; seconds
HandColliderLeft(Clone) ;3; seconds
TVset4 ;1; seconds
WallTVs ;23; seconds
Walls ;41; seconds
PizzaSliceprefabStatic ;2; seconds
OldExtinguisher ;10; seconds
TVRight ;2; seconds
Chair ;3; seconds
safe ;26; seconds
13917_Pepperoni_v2 ;0; seconds
Metal_box ;3; seconds
remote control TV ;1; seconds
PineapllePrefab ;56; seconds
door ;0; seconds
frame ;1; seconds
SwitchBoxDoorStatic ;3; seconds
Poster ;1; seconds
PineapllePrefab 1 ;5; seconds
door ;46; seconds
ShinRamen ;0; seconds
Whisky_Bottle ;0; seconds
ScrollHint1 ;16; seconds
pokretlo ;3; seconds
Lock ;0; seconds
card ;0; seconds
plate ;0; seconds
ScrollHint2 ;9; seconds
SwitchBoxDoorInteractable ;5; seconds
13917_Pepperoni_v2 ;0; seconds
PizzaNotePrefab ;0; seconds
plate ;0; seconds
PizzaSliceprefab ;0; seconds
HandColliderRight(Clone) ;0; seconds
EndLevelZone ;5; seconds
