SpaceVideFront ;16; seconds
TVCenter ;5; seconds
Floorready ;9; seconds
TVLeft ;3; seconds
Cables ;1; seconds
Fridge_door ;2; seconds
Fridge ;9; seconds
Poster ;2; seconds
SF_Door ;13; seconds
Walls ;16; seconds
safe ;6; seconds
door ;1; seconds
pokretlo ;0; seconds
Metal_box ;0; seconds
Computer ;57; seconds
PineapllePrefab (4) ;1; seconds
HandColliderRight(Clone) ;0; seconds
TVset4 ;0; seconds
WallTVs ;0; seconds
plate ;1; seconds
PizzaSliceprefab ;1; seconds
SwitchBoxDoorStatic ;0; seconds
PineapllePrefab (3) ;0; seconds
PineapllePrefab (5) ;0; seconds
SandwichPrefab ;1; seconds
ShinRamen ;0; seconds
BrokenKey1Interactable ;0; seconds
13917_Pepperoni_v2 ;3; seconds
TVRight ;6; seconds
OldExtinguisher ;2; seconds
Chair ;4; seconds
door ;0; seconds
frame ;1; seconds
metalBoxKey ;0; seconds
TVMessage ;1; seconds
EndLevelZone ;3; seconds
Collider ;0; seconds
SpaceVideUp ;0; seconds
