(0.24, 1.60, 16.56)
(0.24, 1.60, 16.56)
(0.24, 1.60, 16.56)
(0.24, 1.60, 16.57)
(0.24, 1.60, 16.57)
(0.24, 1.60, 16.57)
(0.24, 1.60, 16.57)
(0.23, 1.60, 16.57)
(0.23, 1.59, 16.57)
(0.22, 1.59, 16.57)
(0.22, 1.58, 16.56)
(0.22, 1.57, 16.56)
(0.22, 1.57, 16.55)
(0.21, 1.56, 16.55)
(0.21, 1.56, 16.55)
(0.21, 1.56, 16.54)
(0.21, 1.55, 16.54)
(0.20, 1.54, 16.53)
(0.20, 1.53, 16.53)
(0.20, 1.52, 16.53)
(0.20, 1.52, 16.53)
(0.20, 1.51, 16.53)
(0.20, 1.51, 16.53)
(0.20, 1.51, 16.53)
(0.19, 1.52, 16.53)
(0.19, 1.53, 16.53)
(0.18, 1.53, 16.53)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.53)
(0.17, 1.53, 16.53)
(0.17, 1.53, 16.53)
(0.17, 1.53, 16.53)
(0.17, 1.53, 16.53)
(0.17, 1.53, 16.53)
(0.17, 1.53, 16.53)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.54)
(0.17, 1.53, 16.55)
(0.17, 1.53, 16.55)
(0.17, 1.53, 16.55)
(0.17, 1.53, 16.55)
(0.17, 1.53, 16.55)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.17, 1.53, 16.56)
(0.18, 1.53, 16.56)
(0.18, 1.53, 16.55)
(0.18, 1.53, 16.55)
(0.17, 1.53, 16.55)
(0.17, 1.54, 16.56)
(0.17, 1.54, 16.56)
(0.17, 1.54, 16.56)
(0.17, 1.54, 16.56)
(0.17, 1.54, 16.56)
(0.17, 1.54, 16.56)
(0.17, 1.54, 16.56)
(0.17, 1.54, 16.55)
(0.16, 1.54, 16.55)
(0.16, 1.54, 16.55)
(0.16, 1.54, 16.55)
(0.16, 1.54, 16.55)
(0.16, 1.54, 16.55)
(0.16, 1.54, 16.54)
(0.16, 1.54, 16.54)
(0.16, 1.54, 16.54)
(0.16, 1.54, 16.54)
(0.16, 1.54, 16.54)
(0.16, 1.54, 16.54)
(0.16, 1.54, 16.53)
(0.16, 1.54, 16.53)
(0.16, 1.54, 16.53)
(0.16, 1.54, 16.53)
(0.16, 1.54, 16.53)
(0.16, 1.54, 16.53)
(0.16, 1.54, 16.53)
(0.16, 1.54, 16.53)
(0.16, 1.54, 16.53)
(0.16, 1.54, 16.53)
(0.16, 1.54, 16.54)
(0.16, 1.54, 16.54)
(0.16, 1.54, 16.54)
(0.16, 1.54, 16.54)
(0.16, 1.54, 16.54)
(0.16, 1.54, 16.55)
(0.16, 1.54, 16.55)
(0.16, 1.54, 16.55)
(0.16, 1.54, 16.55)
(0.16, 1.54, 16.56)
(0.16, 1.54, 16.56)
(0.16, 1.54, 16.56)
(0.16, 1.54, 16.56)
(0.16, 1.54, 16.56)
(0.16, 1.54, 16.57)
(0.16, 1.54, 16.57)
(0.16, 1.54, 16.57)
(0.16, 1.54, 16.56)
(0.16, 1.54, 16.56)
(0.16, 1.54, 16.56)
(0.16, 1.54, 16.56)
(0.16, 1.54, 16.56)
(0.16, 1.54, 16.55)
(0.16, 1.54, 16.55)
(0.16, 1.54, 16.55)
(0.15, 1.54, 16.55)
(0.15, 1.54, 16.55)
(0.15, 1.54, 16.55)
(0.15, 1.54, 16.55)
(0.15, 1.54, 16.55)
(0.15, 1.54, 16.55)
(0.15, 1.54, 16.55)
(0.15, 1.54, 16.55)
(0.14, 1.55, 16.55)
(0.14, 1.55, 16.54)
(0.14, 1.55, 16.54)
(0.13, 1.56, 16.54)
(0.14, 1.57, 16.54)
(0.14, 1.58, 16.54)
(0.15, 1.58, 16.54)
(0.15, 1.58, 16.54)
(0.15, 1.58, 16.54)
(0.15, 1.58, 16.54)
(0.16, 1.59, 16.54)
(0.17, 1.59, 16.54)
(0.20, 1.59, 16.54)
(0.22, 1.59, 16.54)
(0.24, 1.59, 16.55)
(0.25, 1.59, 16.55)
(0.26, 1.59, 16.55)
(0.27, 1.59, 16.55)
(0.28, 1.59, 16.55)
(0.28, 1.59, 16.55)
(0.28, 1.59, 16.54)
(0.27, 1.59, 16.54)
(0.27, 1.59, 16.53)
(0.26, 1.59, 16.53)
(0.26, 1.59, 16.53)
(0.27, 1.59, 16.54)
(0.28, 1.59, 16.55)
(0.29, 1.59, 16.55)
(0.31, 1.58, 16.55)
(0.31, 1.58, 16.55)
(0.30, 1.58, 16.54)
(0.28, 1.58, 16.52)
(0.24, 1.57, 16.49)
(0.17, 1.57, 16.46)
(0.10, 1.56, 16.43)
(0.03, 1.56, 16.39)
(-0.03, 1.57, 16.36)
(-0.09, 1.58, 16.31)
(-0.14, 1.57, 16.26)
(-0.18, 1.56, 16.21)
(-0.21, 1.55, 16.16)
(-0.23, 1.53, 16.10)
(-0.23, 1.51, 16.02)
(-0.23, 1.50, 15.93)
(-0.23, 1.50, 15.84)
(-0.25, 1.50, 15.76)
(-0.28, 1.50, 15.70)
(-0.33, 1.50, 15.65)
(-0.38, 1.49, 15.61)
(-0.45, 1.47, 15.57)
(-0.53, 1.47, 15.54)
(-0.62, 1.49, 15.52)
(-0.68, 1.50, 15.49)
(-0.74, 1.49, 15.46)
(-0.78, 1.48, 15.44)
(-0.82, 1.47, 15.40)
(-0.85, 1.46, 15.37)
(-0.87, 1.46, 15.35)
(-0.88, 1.46, 15.32)
(-0.88, 1.46, 15.30)
(-0.88, 1.46, 15.29)
(-0.88, 1.47, 15.28)
(-0.89, 1.47, 15.26)
(-0.89, 1.47, 15.25)
(-0.90, 1.47, 15.24)
(-0.91, 1.47, 15.24)
(-0.91, 1.47, 15.23)
(-0.92, 1.47, 15.23)
(-0.92, 1.47, 15.23)
(-0.92, 1.47, 15.23)
(-0.92, 1.47, 15.23)
(-0.93, 1.47, 15.23)
(-0.93, 1.47, 15.23)
(-0.93, 1.47, 15.23)
(-0.93, 1.47, 15.23)
(-0.93, 1.46, 15.23)
(-0.94, 1.46, 15.23)
(-0.94, 1.45, 15.23)
(-0.94, 1.44, 15.24)
(-0.94, 1.44, 15.25)
(-0.93, 1.44, 15.25)
(-0.93, 1.44, 15.25)
(-0.91, 1.44, 15.26)
(-0.90, 1.44, 15.27)
(-0.87, 1.44, 15.27)
(-0.85, 1.43, 15.28)
(-0.83, 1.42, 15.27)
(-0.83, 1.43, 15.26)
(-0.82, 1.44, 15.24)
(-0.80, 1.44, 15.23)
(-0.76, 1.43, 15.24)
(-0.72, 1.42, 15.26)
(-0.68, 1.43, 15.29)
(-0.64, 1.42, 15.33)
(-0.60, 1.44, 15.36)
(-0.57, 1.46, 15.38)
