SpaceVideFront;22; seconds
ECGVisuzalization;6; seconds
TVCenter;7; seconds
TVRight;16; seconds
WallTVs;10; seconds
Walls;19; seconds
PizzaSliceprefab;1; seconds
13917_Pepperoni_v2;1; seconds
safe;12; seconds
Floorready;29; seconds
door;14; seconds
TVset4;2; seconds
Computer;8; seconds
PineapllePrefab (4);2; seconds
SF_Door;25; seconds
Cables;1; seconds
Fridge;11; seconds
Fridge_door;11; seconds
TVLeft;9; seconds
Poster;14; seconds
SwitchBoxDoorStatic;3; seconds
SodaCanPrefab;1; seconds
SandwichPrefab;4; seconds
HandColliderRight(Clone);1; seconds
Whisky_Bottle;0; seconds
PineapllePrefab;0; seconds
Chair;7; seconds
OldExtinguisher;4; seconds
SwitchBoxDoorInteractable;6; seconds
remote control TV;8; seconds
Bottle_Cracked_Half_01;0; seconds
SwitchBoxSlider2;0; seconds
frame;1; seconds
HandColliderLeft(Clone);0; seconds
card (1);0; seconds
Metal_box;0; seconds
Lock (1);0; seconds
pokretlo;7; seconds
ApplePrefab;0; seconds
ShinRamen;1; seconds
PineapllePrefab (3);1; seconds
Water_Bottle_FBX;1; seconds
ScrollHint3;11; seconds
SwitchBoxSlider1;0; seconds
MessagePrefab;0; seconds
plate;1; seconds
card;0; seconds
key;0; seconds
EndLevelZone;0; seconds
