SpaceVideFront;47; seconds
SpaceVideUp;0; seconds
ECGVisuzalization;3; seconds
TVCenter;34; seconds
WallTVs;5; seconds
Walls;32; seconds
TVset4;0; seconds
SF_Door;28; seconds
PineapllePrefab (4);5; seconds
Computer;76; seconds
door;12; seconds
Cables;0; seconds
Poster;2; seconds
Fridge;18; seconds
Fridge_door;2; seconds
TVLeft;7; seconds
Floorready;20; seconds
Chair;8; seconds
PineapllePrefab (3);6; seconds
SodaCanPrefab;0; seconds
ShinRamen;0; seconds
Whisky_Bottle;0; seconds
PineapllePrefab (5);0; seconds
SandwichPrefab;0; seconds
frame;4; seconds
SwitchBoxDoorStatic;3; seconds
TVRight;14; seconds
PizzaSliceprefab;0; seconds
13917_Pepperoni_v2;0; seconds
Metal_box;2; seconds
safe;6; seconds
card (1);0; seconds
OldExtinguisher;0; seconds
ScrollHint1;21; seconds
plate;1; seconds
TVMessage;4; seconds
HandColliderRight(Clone);0; seconds
Collider;4; seconds
ScrollHint2;11; seconds
ScrollHint3;20; seconds
EndLevelZone;1; seconds
